State,0 to 14 Years,15 to 64 Years,65 Years and Over
BJ,1732,14225,1498
TJ,1359,9399,1392
HE,10772,44198,5547
SX,4710,22860,2388
NMG,2831,16020,1762
LN,3774,28756,3701
JL,2669,17844,2193
HLJ,3792,25029,2830
SH,1866,15945,2121
JS,8733,48762,8030
ZJ,5417,35785,4174
AH,9186,35337,5241
FJ,5249,23355,2543
JX,7353,26608,3360
SD,12432,59077,8822
HA,16133,54620,6935
HB,7153,35966,4741
HN,10088,39294,5837
GD,14653,66830,6364
GX,8361,26966,3620
HI,1385,5402,602
CQ,3824,17440,3247
SC,11073,47295,8536
GZ,6385,19838,2682
YN,7745,27835,3099
XZ,599,1843,133
SN,4685,23324,3053
GS,3603,15813,1895
QH,948,3479,341
NX,1093,3924,382
XJ,3893,13605,1190
